,p_pv,p_el,h_el,p_fc,h_fc,g_fc,h_sto,h_sto_next,g_hw_io,g_hw,g_hw_next,q_cw_io,q_cw,q_cw_next,p_hp,g_hp,q_hp,z_hp_g,z_hp_q,p_eb,g_eb,p_pur,h_pur
0,0.0,0.0,0.0,0.0,0.0,0.0,7.264097580060233,7.264097580060233,2430.3200042364624,70862.0307705401,73292.35077477657,0.0,0.0,0.0,1169.7863294514611,4141.043606258172,0.0,1.0,0.0,0.0,0.0,1213.389176892655,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,7.264097580060233,7.264097580060233,2254.0575301867357,73292.35077477657,75546.4083049633,0.0,0.0,0.0,1169.7863294514611,4141.043606258172,0.0,1.0,0.0,0.0,0.0,1213.389176892655,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,7.264097580060233,7.264097580060233,2098.841836049556,75546.4083049633,77645.25014101286,0.0,0.0,0.0,1169.7863294514611,4141.043606258172,0.0,1.0,0.0,0.0,0.0,1213.389176892655,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,7.264097580060233,7.264097580060233,1992.8649646540289,77645.25014101286,79638.11510566689,0.0,0.0,0.0,1169.7863294514611,4141.043606258172,0.0,1.0,0.0,0.0,0.0,1213.389176892655,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,7.264097580060233,7.264097580060233,1932.0131183445046,79638.11510566689,81570.1282240114,0.0,0.0,0.0,1169.7863294514611,4141.043606258172,0.0,1.0,0.0,0.0,0.0,1213.389176892655,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,7.264097580060233,7.264097580060233,1911.416677490939,81570.1282240114,83481.54490150233,0.0,0.0,0.0,1169.7863294514611,4141.043606258172,0.0,1.0,0.0,0.0,0.0,1213.389176892655,0.0
6,0.0,89.25035211787004,1.6243564085452347,0.0,0.0,0.0,7.264097580060233,8.888453988605468,1916.7751866053004,83481.54490150233,85398.32008810763,0.0,0.0,0.0,1169.7863294514611,4141.043606258172,0.0,1.0,0.0,0.0,0.0,1314.366762693742,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,8.888453988605468,8.888453988605468,1929.8467012630717,85398.32008810763,87328.1667893707,0.0,0.0,0.0,1169.7863294514611,4141.043606258172,0.0,1.0,0.0,0.0,0.0,1225.9106189465929,0.0
8,100.76115990650493,0.0,0.0,0.0,0.0,0.0,8.888453988605468,8.888453988605468,-2401.718864564842,87328.1667893707,84926.44792480586,0.0,0.0,0.0,12.5,0.0,50.0,0.0,1.0,32.70344357563094,29.43309921806785,1.4210854715202004e-14,0.0
9,317.2727431766809,0.0,0.0,0.0,0.0,0.0,8.888453988605468,8.888453988605468,-1977.7422877755598,84926.44792480586,82948.7056370303,0.0,0.0,0.0,25.0,0.0,100.0,0.0,1.0,237.59200134312584,213.83280120881327,0.0,0.0
10,511.3004312611077,0.0,0.0,0.0,0.0,0.0,8.888453988605468,8.888453988605468,-1808.5240612320922,82948.7056370303,81140.18157579821,0.0,0.0,0.0,37.5,0.0,150.0,0.0,1.0,419.31724118811815,377.38551706930633,0.0,0.0
11,612.894328026344,0.0,0.0,0.0,0.0,0.0,8.888453988605468,8.888453988605468,-1609.448290277971,81140.18157579821,79530.73328552024,0.0,0.0,0.0,50.0,0.0,200.0,0.0,1.0,508.4111379533546,457.5700241580192,1.1368683772161603e-13,0.0
12,647.0365392343334,0.0,0.0,0.0,0.0,0.0,8.888453988605468,8.888453988605468,-1460.8380574391485,79530.73328552024,78069.89522808109,0.0,0.0,0.0,62.5,0.0,250.0,0.0,1.0,530.0533491613439,477.0480142452096,0.0,0.0
13,622.8871703311214,0.0,0.0,0.0,0.0,0.0,8.888453988605468,8.888453988605468,-1382.8949257138447,78069.89522808109,76687.00030236725,0.0,0.0,0.0,75.0,0.0,300.0,0.0,1.0,493.40398025813187,444.0635822323187,0.0,0.0
14,537.1152738817825,0.0,0.0,0.0,0.0,0.0,8.888453988605468,8.888453988605468,-1394.8621306467685,76687.00030236725,75292.13817172048,0.0,0.0,0.0,87.5,0.0,350.0,0.0,1.0,395.1320838087931,355.6188754279138,1.1368683772161603e-13,0.0
15,378.8952707228078,0.0,0.0,0.0,0.0,0.0,8.888453988605468,8.888453988605468,-1321.736322205732,75292.13817172048,73970.40184951475,0.0,0.0,0.0,100.0,0.0,400.0,0.0,1.0,224.41208064981828,201.97087258483646,0.0,0.0
16,134.07063425576277,0.0,0.0,0.0,0.0,0.0,8.888453988605468,8.888453988605468,-1653.8708366477222,73970.40184951475,72316.53101286702,0.0,0.0,0.0,112.5,0.0,450.0,0.0,1.0,0.0,0.0,32.912555817226774,0.0
17,1.6654737174628915,0.0,0.0,0.0,0.0,0.0,8.888453988605468,8.888453988605468,-1727.7753896802315,72316.53101286702,70588.7556231868,0.0,0.0,0.0,125.0,0.0,500.0,0.0,1.0,0.0,0.0,177.9101101790749,0.0
18,0.0,0.0,0.0,44.44226994302734,2.9628179962018226,46.72363980010275,8.888453988605468,5.925635992403645,-1742.015742881369,70588.7556231868,68846.73988030542,0.0,0.0,0.0,125.0,0.0,500.0,0.0,1.0,0.0,0.0,124.98273124748623,0.0
19,0.0,0.0,0.0,44.44226994302734,2.9628179962018226,46.72363980010275,5.925635992403645,2.9628179962018226,-1788.8306784284505,68846.73988030542,67057.90920187697,0.0,0.0,0.0,125.0,0.0,500.0,0.0,1.0,0.0,0.0,124.16057749816649,0.0
20,0.0,0.0,0.0,44.44226994302734,2.9628179962018226,46.72363980010275,2.9628179962018226,0.0,-1836.784837452382,67057.90920187697,65221.12436442459,0.0,0.0,0.0,125.0,0.0,500.0,0.0,1.0,0.0,0.0,124.16057749816649,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1727.7179145007176,65221.12436442459,63493.406449923874,0.0,0.0,0.0,125.0,0.0,500.0,0.0,1.0,0.0,0.0,168.60284744119383,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1761.3344694450134,63493.406449923874,61732.07198047886,0.0,0.0,0.0,125.0,0.0,500.0,0.0,1.0,0.0,0.0,168.60284744119383,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3300.0111266025633,61732.07198047886,65032.083107081424,0.0,0.0,0.0,125.0,0.0,500.0,0.0,1.0,5662.7694289512665,5096.49248605614,5831.372276392461,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3265.0038358613165,65032.083107081424,68297.08694294274,0.0,0.0,0.0,125.0,0.0,500.0,0.0,1.0,5662.7694289512665,5096.49248605614,5844.4004360640865,0.0
25,0.0,399.12624066265016,7.264097580060233,0.0,0.0,0.0,0.0,7.264097580060233,2687.641734901641,68297.08694294274,70984.72867784438,0.0,0.0,0.0,125.0,0.0,500.0,0.0,1.0,5046.601914568632,4541.9417231117695,5627.3591623441025,0.0
26,0.0,116.02009375370947,2.1115657063175126,0.0,0.0,0.0,7.264097580060233,9.375663286377746,3209.5747493749805,70984.72867784438,74194.30342721936,0.0,0.0,0.0,125.0,0.0,500.0,0.0,1.0,5662.7694289512665,5096.49248605614,5960.420529817796,0.0
