,p_pv,p_el,h_el,p_fc,h_fc,g_fc,h_sto,h_sto_next,g_hw_io,g_hw,g_hw_next,q_cw_io,q_cw,q_cw_next,p_hp,g_hp,q_hp,z_hp_g,z_hp_q,p_eb,g_eb,p_pur,h_pur
28,0.0,6697.502242829411,121.89454081949529,0.0,0.0,0.0,609.4727040974765,731.3672449169718,-2.2737367544323206e-13,1699.199999999998,1699.1999999999978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4058.965901828569,3653.069311645712,11313.099151770799,2.842170943040401e-14
29,0.0,6697.502242829411,121.89454081949529,0.0,0.0,0.0,731.3672449169718,853.2617857364671,2.2737367544323206e-13,1699.1999999999978,1699.199999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4086.7994386824416,3678.1194948141974,11340.932688624673,2.842170943040401e-14
30,0.0,6697.502242829411,121.89454081949529,0.0,0.0,0.0,853.2617857364671,975.1563265559624,0.0,1699.199999999998,1699.199999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4108.448033567481,3697.603230210733,11383.194788148514,2.842170943040401e-14
31,0.0,0.0,0.0,1581.026416184095,105.40176107893967,1662.1857722148789,975.1563265559624,869.7545654770228,-4.547473508864641e-13,1699.199999999998,1699.1999999999975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2273.4360235724216,2046.0924212151795,1350.6816295747935,0.0
32,947.9347121601306,0.0,0.0,1581.026416184095,105.40176107893967,1662.1857722148789,869.7545654770228,764.3528043980831,0.0,1699.1999999999975,1699.1999999999975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2509.525447776658,2258.572902998992,853.096403536759,0.0
33,2874.3826755823316,0.0,0.0,1028.8816463736289,68.59210975824192,1081.6975708874752,764.3528043980831,695.7606946398412,0.0,1699.1999999999975,1699.1999999999975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3087.3216726594906,2778.5895053935415,-9.094947017729282e-13,0.0
34,5167.77310822781,190.27581153873234,3.4630197700049288,0.0,0.0,0.0,695.7606946398412,699.2237144098461,0.0,1699.1999999999975,1699.1999999999975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4172.99156984565,3755.692412861085,0.0,3.3306690738754696e-14
35,7053.4496861807565,2322.979094093611,42.27821951250372,0.0,0.0,0.0,699.2237144098461,741.5019339223498,0.0,1699.1999999999975,1699.1999999999975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3917.8170891380005,3526.0353802242007,0.0,-7.105427357601002e-15
36,7532.513465444479,3141.8207280049264,57.18113724968966,0.0,0.0,0.0,741.5019339223498,798.6830711720395,0.0,1699.1999999999975,1699.1999999999975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3573.812823421421,3216.4315410792788,0.0,-2.1316282072803006e-14
37,7175.763842588515,2906.5289639119414,52.89882714319734,0.0,0.0,0.0,798.6830711720395,851.5818983152368,0.0,1699.1999999999975,1699.1999999999975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3449.7915623059966,3104.812406075397,9.094947017729282e-13,-2.842170943040401e-14
38,6176.864898591819,1851.4045627649248,33.69556304232163,0.0,0.0,0.0,851.5818983152368,885.2774613575584,0.0,1699.1999999999975,1699.1999999999975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3520.9546089834666,3168.85914808512,0.0,-7.105427357601002e-15
39,4444.081016148569,181.05912974044168,3.2952761612760386,0.0,0.0,0.0,885.2774613575584,888.5727375188345,0.0,1699.1999999999975,1699.1999999999975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3458.5161595646996,3112.66454360823,0.0,5.3734794391857577e-14
40,1906.0622706875745,0.0,0.0,1053.2698271074705,70.21798847383137,1107.3376782323207,888.5727375188345,818.3547490450031,0.0,1699.1999999999975,1699.1999999999975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2142.6047067930404,1928.3442361137363,2.2737367544323206e-13,-1.4210854715202004e-14
41,30.5785391019397,0.0,0.0,1581.026416184095,105.40176107893967,1662.1857722148789,818.3547490450031,712.9529879660635,0.0,1699.1999999999975,1699.1999999999975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1723.5004481701121,1551.150403353101,839.1354787929974,0.0
42,0.0,0.0,0.0,1581.026416184095,105.40176107893967,1662.1857722148789,712.9529879660635,607.5512268871238,0.0,1699.1999999999975,1699.1999999999975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1818.1195465409312,1636.307591886838,862.961017798284,0.0
43,0.0,0.0,0.0,1581.026416184095,105.40176107893967,1662.1857722148789,607.5512268871238,502.1494658081841,0.0,1699.1999999999975,1699.1999999999975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1910.8183924146476,1719.736553173183,945.9671552041382,0.0
44,0.0,0.0,0.0,1581.026416184095,105.40176107893967,1662.1857722148789,502.1494658081841,396.74770472924445,0.0,1699.1999999999975,1699.1999999999975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1992.5343908644197,1793.2809517779779,1012.2927498355116,0.0
45,0.0,0.0,0.0,1581.026416184095,105.40176107893967,1662.1857722148789,396.74770472924445,291.3459436503048,0.0,1699.1999999999975,1699.1999999999975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1851.7599196772753,1666.5839277095479,866.0864279112211,0.0
46,0.0,0.0,0.0,1581.026416184095,105.40176107893967,1662.1857722148789,291.3459436503048,185.9441825713651,0.0,1699.1999999999975,1699.1999999999975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1896.3161637411126,1706.6845473670014,895.2522681566597,0.0
47,0.0,6697.502242829411,121.89454081949529,0.0,0.0,0.0,185.9441825713651,307.8387233908604,0.0,1699.1999999999975,1699.1999999999975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3785.41948258554,3406.8775343269863,11055.189044105395,2.842170943040401e-14
48,0.0,6697.502242829411,121.89454081949529,0.0,0.0,0.0,307.8387233908604,429.73326421035574,2.2737367544323206e-13,1699.1999999999975,1699.1999999999978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3822.49928053385,3440.2493524804654,11077.733882779943,2.842170943040401e-14
49,0.0,6697.502242829411,121.89454081949529,0.0,0.0,0.0,429.73326421035574,551.6278050298511,0.0,1699.1999999999978,1699.1999999999978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3864.4491524101913,3478.0042371691725,11118.582402352422,2.842170943040401e-14
50,0.0,6697.502242829411,121.89454081949529,0.0,0.0,0.0,551.6278050298511,673.5223458493464,0.0,1699.1999999999978,1699.1999999999978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3925.849466133959,3533.264519520563,11179.98271607619,2.842170943040401e-14
51,0.0,6697.502242829411,121.89454081949529,0.0,0.0,0.0,673.5223458493464,795.4168866688417,0.0,1699.1999999999978,1699.1999999999978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3997.577919048915,3597.820127144024,11251.711168991147,2.842170943040401e-14
52,0.0,524.5600022628953,9.546992041184694,0.0,0.0,0.0,795.4168866688417,804.9638787100264,0.0,1699.1999999999978,1699.1999999999978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4077.030085958741,3669.327077362867,5158.221095334456,0.0
53,0.0,6697.502242829411,121.89454081949529,0.0,0.0,0.0,804.9638787100264,926.8584195295217,0.0,1699.1999999999978,1699.1999999999978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4147.226905815308,3732.5042152337774,11401.360155757538,2.842170943040401e-14
54,0.0,6697.502242829411,121.89454081949529,0.0,0.0,0.0,926.8584195295217,1048.752960349017,-2.2737367544323206e-13,1699.1999999999978,1699.1999999999975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4199.909242050371,3779.918317845334,11474.655996631403,2.842170943040401e-14
55,0.0,0.0,0.0,1581.026416184095,105.40176107893967,1662.1857722148789,1048.752960349017,943.3511992700774,0.0,1699.1999999999975,1699.1999999999975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2375.7199070051843,2138.147916304666,1452.9655130075562,0.0
56,438.292393794469,0.0,0.0,1581.026416184095,105.40176107893967,1662.1857722148789,943.3511992700774,837.9494381911377,-4.547473508864641e-13,1699.1999999999975,1699.199999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2597.551644627582,2337.7964801648236,1448.5275947235548,0.0
57,2038.5692734626468,0.0,0.0,0.0,0.0,0.0,837.9494381911377,837.9494381911377,4.547473508864641e-13,1699.199999999997,1699.1999999999975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4335.04042421382,3901.536381792438,3113.4753540183715,0.0
58,3730.581770436643,0.0,0.0,514.5978685388372,34.306524569255814,541.0138924571643,837.9494381911377,803.6429136218819,2.2737367544323206e-13,1699.1999999999975,1699.1999999999978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3440.564480746486,3096.5080326718376,4.547473508864641e-13,4.263256414560601e-14
59,4811.023485371846,270.822605951339,4.92897142831437,0.0,0.0,0.0,803.6429136218819,808.5718850501963,-2.2737367544323206e-13,1699.1999999999978,1699.1999999999975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3727.547376471361,3354.792638824225,0.0,4.1744385725905886e-14
60,4943.530488146918,615.1763843785143,11.19621019568896,0.0,0.0,0.0,808.5718850501963,819.7680952458853,0.0,1699.1999999999975,1699.1999999999975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3511.474189750272,3160.326770775245,0.0,3.019806626980426e-14
61,3863.0887732117153,0.0,0.0,125.76954188125642,8.384636125417094,132.2257116978276,819.7680952458853,811.3834591204683,2.2737367544323206e-13,1699.1999999999975,1699.1999999999978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3169.414998722395,2852.4734988501555,9.094947017729282e-13,4.796163466380676e-14
62,1875.4837315856348,0.0,0.0,981.4433904324968,65.42955936216646,1031.824151141365,811.3834591204683,745.9538997583018,2.2737367544323206e-13,1699.1999999999978,1699.199999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2052.4213951747042,1847.1792556572339,0.0,-5.684341886080802e-14
63,947.9347121601306,0.0,0.0,1393.7052488954612,92.91368325969741,1465.2487850054283,745.9538997583018,653.0402164986043,2.2737367544323206e-13,1699.199999999998,1699.1999999999982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1537.1342342121648,1383.4208107909483,0.0,-4.263256414560601e-14
64,458.6780865290954,0.0,0.0,786.5216596627721,52.43477731085147,826.8964381921278,653.0402164986043,600.6054391877528,-2.2737367544323206e-13,1699.1999999999982,1699.199999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2339.7314404332296,2105.7582963899067,1911.2590852433666,0.0
65,0.0,0.0,0.0,1581.026416184095,105.40176107893967,1662.1857722148789,600.6054391877528,495.2036781088132,2.2737367544323206e-13,1699.199999999998,1699.1999999999982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1712.5612133485083,1541.3050920136575,858.4215842213139,5.684341886080802e-14
66,0.0,0.0,0.0,1581.026416184095,105.40176107893967,1662.1857722148789,495.2036781088132,389.80191702987355,0.0,1699.1999999999982,1699.1999999999982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1782.752841228607,1604.4775571057462,827.5943124859596,0.0
67,0.0,0.0,0.0,1581.026416184095,105.40176107893967,1662.1857722148789,389.80191702987355,284.4001559509339,0.0,1699.1999999999982,1699.1999999999982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1856.4047916259592,1670.7643124633632,891.55355441545,0.0
68,0.0,0.0,0.0,1581.026416184095,105.40176107893967,1662.1857722148789,284.4001559509339,178.9983948719942,-2.2737367544323206e-13,1699.1999999999982,1699.199999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1907.4467228956048,1716.7020506060444,927.2050818666967,0.0
69,0.0,0.0,0.0,1581.026416184095,105.40176107893967,1662.1857722148789,178.9983948719942,73.59663379305454,0.0,1699.199999999998,1699.199999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1756.701969495405,1581.0317725458644,771.0284777293509,0.0
70,0.0,0.0,0.0,0.0,0.0,0.0,73.59663379305454,73.59663379305454,0.0,1699.199999999998,1699.199999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3628.0870196419146,3265.2783176777234,4208.049540241556,0.0
71,0.0,6697.502242829411,121.89454081949529,0.0,0.0,0.0,73.59663379305454,195.49117461254983,0.0,1699.199999999998,1699.199999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3646.1447138015005,3281.5302424213505,10915.914275321355,0.0
72,0.0,6697.502242829411,121.89454081949529,0.0,0.0,0.0,195.49117461254983,317.3857154320451,0.0,1699.199999999998,1699.199999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3665.1025668814195,3298.5923101932776,10920.337169127513,0.0
73,0.0,6697.502242829411,121.89454081949529,0.0,0.0,0.0,317.3857154320451,439.28025625154044,-2.2737367544323206e-13,1699.199999999998,1699.1999999999978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3696.2849285578723,3326.656435702085,10950.418178500104,2.842170943040401e-14
74,0.0,6697.502242829411,121.89454081949529,0.0,0.0,0.0,439.28025625154044,561.1747970710358,-2.2737367544323206e-13,1699.1999999999978,1699.1999999999975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3727.773616846003,3354.9962551614026,10981.906866788235,2.842170943040401e-14
75,0.0,6697.502242829411,121.89454081949529,0.0,0.0,0.0,561.1747970710358,683.0693378905311,0.0,1699.1999999999975,1699.1999999999975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3782.3120846687743,3404.080876201897,11036.445334611006,2.842170943040401e-14
76,0.0,6697.502242829411,121.89454081949529,0.0,0.0,0.0,683.0693378905311,804.9638787100264,2.2737367544323206e-13,1699.1999999999975,1699.1999999999978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3850.1984749965845,3465.1786274969263,11104.331724938816,2.842170943040401e-14
77,0.0,6697.502242829411,121.89454081949529,0.0,0.0,0.0,804.9638787100264,926.8584195295217,-2.2737367544323206e-13,1699.1999999999978,1699.1999999999975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3909.824430762032,3518.841987685829,11163.957680704263,2.842170943040401e-14
78,0.0,6697.502242829411,121.89454081949529,0.0,0.0,0.0,926.8584195295217,1048.752960349017,2.2737367544323206e-13,1699.1999999999975,1699.1999999999978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3959.2189478980263,3563.2970531082237,11233.965702479058,2.842170943040401e-14
79,0.0,0.0,0.0,777.5349121114658,51.835660807431054,817.4483709331878,1048.752960349017,996.917299541586,4.547473508864641e-13,1699.1999999999978,1699.1999999999982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4636.534952033147,4172.881456829833,4517.272062108148,0.0
80,825.620555752372,0.0,0.0,1581.026416184095,105.40176107893967,1662.1857722148789,996.917299541586,891.5155384626463,-2.2737367544323206e-13,1699.1999999999982,1699.199999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3908.8051612128543,3517.924645091569,2373.5497679805376,0.0
81,3006.8896783574037,0.0,0.0,1472.27356837117,98.15157122474467,1547.8502782142236,891.5155384626463,793.3639672379016,4.547473508864641e-13,1699.199999999998,1699.1999999999985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3660.6987286136086,3294.628855752248,9.094947017729282e-13,1.4210854715202004e-14
82,5106.61603002393,0.0,0.0,251.20140871527818,16.746760581018545,264.0964143626625,793.3639672379016,776.6172066568831,0.0,1699.1999999999985,1699.1999999999985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4552.302239224884,4097.072015302396,0.0,2.4868995751603507e-14
83,6645.7358314882285,1378.1420341310215,25.082185021184593,0.0,0.0,0.0,776.6172066568831,801.6993916780677,0.0,1699.1999999999985,1699.1999999999985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4454.940294408061,4009.446264967255,-9.094947017729282e-13,2.1316282072803006e-14
84,7257.306613527022,2048.4306828271,37.281438427453224,0.0,0.0,0.0,801.6993916780677,838.9808301055209,0.0,1699.1999999999985,1699.1999999999985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4391.99601668179,3952.7964150136113,0.0,-5.684341886080802e-14
85,6533.614521447782,1535.9835051812622,27.954899794298974,0.0,0.0,0.0,838.9808301055209,866.9357298998199,2.2737367544323206e-13,1699.1999999999985,1699.1999999999987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4178.187699895942,3760.368929906348,0.0,-7.105427357601002e-15
86,4596.973711658268,135.3066757423453,2.462581498510685,0.0,0.0,0.0,866.9357298998199,869.3983113983305,-2.2737367544323206e-13,1699.1999999999987,1699.1999999999985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3657.1613090724954,3291.445178165246,-9.094947017729282e-13,-4.04121180963557e-14
87,2425.8974354205493,0.0,0.0,869.8402507904755,57.98935005269836,914.4920503310533,869.3983113983305,811.4089613456322,0.0,1699.1999999999985,1699.1999999999985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2491.2319593675975,2242.108763430838,0.0,2.1316282072803006e-14
88,856.1990948543116,0.0,0.0,1581.026416184095,105.40176107893967,1662.1857722148789,811.4089613456322,706.0072002666925,2.2737367544323206e-13,1699.1999999999985,1699.1999999999987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1928.708645333106,1735.8377807997954,308.21052529670396,0.0
89,10.192846367313233,0.0,0.0,1581.026416184095,105.40176107893967,1662.1857722148789,706.0072002666925,600.6054391877528,2.2737367544323206e-13,1699.1999999999987,1699.199999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2620.911904355077,2358.8207139195692,1755.2132047018297,0.0
90,0.0,0.0,0.0,1581.026416184095,105.40176107893967,1662.1857722148789,600.6054391877528,495.2036781088132,0.0,1699.199999999999,1699.199999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2631.8559417549154,2368.670347579424,1675.7422514900923,5.684341886080802e-14
91,0.0,0.0,0.0,1581.026416184095,105.40176107893967,1662.1857722148789,495.2036781088132,389.80191702987355,0.0,1699.199999999999,1699.199999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2443.5217979159615,2199.1696181243656,1478.6705607054519,0.0
92,0.0,0.0,0.0,1581.026416184095,105.40176107893967,1662.1857722148789,389.80191702987355,284.4001559509339,0.0,1699.199999999999,1699.199999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2556.289450034576,2300.6605050311186,1576.0478090056677,0.0
93,0.0,0.0,0.0,1581.026416184095,105.40176107893967,1662.1857722148789,284.4001559509339,178.9983948719942,-2.2737367544323206e-13,1699.199999999999,1699.1999999999987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2480.6964792342446,2232.6268313108203,1495.0229874681904,0.0
94,0.0,0.0,0.0,1581.026416184095,105.40176107893967,1662.1857722148789,178.9983948719942,73.59663379305454,-2.2737367544323206e-13,1699.1999999999987,1699.1999999999985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1794.1964765641862,1614.7768289077676,793.1325809797331,0.0
95,0.0,6697.502242829411,121.89454081949529,0.0,0.0,0.0,73.59663379305454,195.49117461254983,0.0,1699.1999999999985,1699.1999999999985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3683.7774572437725,3315.399711519395,10953.547018763627,0.0
