,p_pv,p_el,h_el,p_fc,h_fc,g_fc,h_sto,h_sto_next,g_hw_io,g_hw,g_hw_next,q_cw_io,q_cw,q_cw_next,p_hp,g_hp,q_hp,z_hp_g,z_hp_q,p_eb,g_eb,p_pur,h_pur
0,0.0,0.0,0.0,0.0,0.0,0.0,363.66475844110886,363.66475844110886,0.0,1699.1999999999998,1699.1999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3788.804002246348,3409.923602021713,3832.4068496875416,0.0
1,0.0,6638.893154914136,120.82785541943728,0.0,0.0,0.0,363.66475844110886,484.49261386054616,-6.821210263296962e-13,1699.1999999999998,1699.1999999999991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3984.6511956349354,3586.186076071442,10667.147197990265,1.4210854715202004e-14
2,0.0,0.0,0.0,0.0,0.0,0.0,484.49261386054616,484.49261386054616,0.0,1699.1999999999991,1699.1999999999991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4157.1130780095655,3741.401770208609,4200.71592545076,0.0
3,0.0,6638.893154914136,120.82785541943728,0.0,0.0,0.0,484.49261386054616,605.3204692799834,2.2737367544323206e-13,1699.1999999999991,1699.1999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4274.865157337944,3847.3786416041494,10957.361159693275,-4.263256414560601e-14
4,0.0,0.0,0.0,0.0,0.0,0.0,605.3204692799834,605.3204692799834,0.0,1699.1999999999994,1699.1999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4342.478319904067,3908.23048791366,4386.081167345261,0.0
5,0.0,6638.893154914136,120.82785541943728,0.0,0.0,0.0,605.3204692799834,726.1483246994206,0.0,1699.1999999999994,1699.1999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4365.363254185813,3928.826928767232,11047.859256541144,-4.263256414560601e-14
6,0.0,6638.893154914136,120.82785541943728,0.0,0.0,0.0,726.1483246994206,846.9761801188579,0.0,1699.1999999999994,1699.1999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4359.409355169854,3923.4684196528688,11053.632591208401,-4.263256414560601e-14
7,0.0,0.0,0.0,1577.7487627201708,105.18325084801138,1658.7398658731397,846.9761801188579,741.7929292708465,4.547473508864641e-13,1699.1999999999994,1699.1999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2501.841154579961,2251.6570391219648,980.2166813549215,-4.263256414560601e-14
8,1224.0520810761207,0.0,0.0,1577.7453205563008,105.18302137042005,1658.7362470115245,741.7929292708465,636.6099079004264,0.0,1699.1999999999998,1699.1999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2746.239685301547,2471.6157167713923,-4.547473508864641e-13,-2.842170943040401e-14
9,3854.2466354545627,0.0,0.0,241.4583795996591,16.097225306643942,253.85324308577498,636.6099079004264,620.5126825937824,0.0,1699.1999999999998,1699.1999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4041.0242732206666,3636.9218458986,0.0,-2.1316282072803006e-14
10,6211.305601493704,1840.0339910858338,33.48861863776218,0.0,0.0,0.0,620.5126825937824,654.0013012315446,0.0,1699.1999999999998,1699.1999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4316.78842033488,3885.1095783013925,0.0,3.552713678800501e-14
11,7445.47381547128,3206.3036093583078,58.3547256903212,0.0,0.0,0.0,654.0013012315446,712.3560269218658,0.0,1699.1999999999998,1699.1999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4184.687016039983,3766.2183144359847,0.0,-2.842170943040401e-14
12,7860.2352644309585,3764.54532804201,68.51472497036458,0.0,0.0,0.0,712.3560269218658,780.8707518922304,0.0,1699.1999999999998,1699.1999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4041.2067463159588,3637.086071684363,0.0,-1.4210854715202004e-14
13,7566.867410288747,3594.430322497793,65.41863186945983,0.0,0.0,0.0,780.8707518922304,846.2893837616903,0.0,1699.1999999999998,1699.1999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3917.9538977179645,3526.1585079461684,0.0,5.684341886080802e-14
